reg_no,chassis_no,engine_no,fuel_type,maker_class,maker_model,reg_date,reg_auth,aadhaar
PA02QU9986,52XTWG66C9ZF4LMB6,115ADQ64IWHT35602,diesel,Acura,TSX,30/01/1948,KG95,144763000000
VR53IE5997,M3PIMXR0RUX5WUF70,237TOJ11HIYP68991,elec,Acura,MDX,31/03/1982,QM98,144763000000
TK72BI9388,77UUVA5RSIZJN99UJ,845EAJ84KNZG52704,elec,Acura,MDX,16/06/1996,GO61,283441000000
WV62PG0389,4GYVMV44HJ1OT2LFY,374PKG43OIOU09965,elec,Acura,TL,2/12/1944,WS19,359711000000
JK84AI2343,MY9Z1IG6SDWDIGNK7,625DNK70GWPS09240,elec,Acura,Integra,11/8/1943,FU51,447318000000
TM47RB7139,2VZ6LF56A1Z0VHQQN,505WPC38MEJL50246,petrol,Acura,TL,7/8/2001,GA93,447525000000
GI06TS1217,L9LK71TGPRKOC0UXJ,400EHN96ZBII51133,cng,Acura,NSX,7/12/2009,PN92,456270000000
JI71CZ2543,FM4QCQRGAKVVME113,528RBQ52NBJI33114,elec,Acura,NSX,19/12/1953,IU53,495022000000
TV88GB3808,7FPRAB3CKSJCMZK7K,813UWQ98PZWQ51118,petrol,Acura,TL,29/10/1948,MG89,503898000000
QZ84VG5118,9EMO14BYABU63ON8O,976ETI31KSOR58740,diesel,Acura,RL,18/10/2010,MH40,631805000000
HF51SI1908,XJC1P2W4ZEL4GQBOF,983IRP14ZNVY02126,diesel,Acura,RSX,11/1/1963,OD76,666962000000
FK35OB5078,OFZRG7T2ITYNAKZCD,155CXP00KYTF28210,petrol,Acura,TL,16/11/1964,AS73,758641000000
NC44RA1960,8J2WW6PQB3QN1FE60,602QHN01PHGH91219,petrol,Acura,NSX,5/12/1998,NV37,778244000000
BV03JJ1209,3MAEEQBIG51DQMS1L,440IAO80GSKM31234,elec,Acura,RL,11/7/1988,RY50,884094000000
XH66IA5063,LEQQDADHZYUQ8TOEZ,169CLN58GULH87290,petrol,Alfa Romeo,164,25/09/1946,NX47,506951000000
CZ88GH7612,HOXMJEKT7D39E1YHI,032DTA82YVQO10302,diesel,Alfa Romeo,Spider,28/09/1954,GU76,891471000000
OT63IJ7766,6FFWZAELR24R6NTV3,647HZK64UEFW55580,cng,Aston Martin,V8 Vantage,13/07/2013,NA74,226664000000
GR48XX0946,RQGKZCK0U492970L1,053TEV96ULUC09853,cng,Aston Martin,Vanquish S,25/06/1979,IO73,235280000000
EY81ER9424,KZQIH7VZROZVCIIRG,904QCW28TATP61965,elec,Aston Martin,Rapide,11/11/1985,FK67,304831000000
VH08FK4445,UN0SHMLGEHHYG0AS4,958RLK70YHGG95542,elec,Aston Martin,DB9,17/06/2006,MQ59,365570000000
CZ48KS2296,ERGS92XAPXHRU5DUW,987VZW50LEVZ15895,elec,Aston Martin,DB9,26/05/1961,JB73,580316000000
WM61QO6877,UD18OO7TB30MEOW9S,859RTC74RVWS72340,diesel,Aston Martin,Vantage,5/11/1959,DM97,776967000000
AG76YF3112,OX7ELA1982CLNO0SM,822ZRT46NSDD46686,diesel,Aston Martin,V8 Vantage,22/05/1970,LW71,913035000000
LL76JT8130,4STHRZGXG6OQPKMK1,117XXZ02SVQS34717,elec,Audi,TT,27/11/1970,IR81,104103000000
YD37LA9760,IYF7V438RU75AATJR,234WFQ61MJRD84303,petrol,Audi,Q5,9/10/2008,TO69,187212000000
RM19LF3541,GUZ59T2T43VQCDPS1,490IIY60TGEH18325,elec,Audi,5000S,8/6/1984,AF57,206168000000
EB40PM4981,PJ57HEGAXSR2CHE2R,575RFU48RYCK36364,elec,Audi,S5,14/08/1941,LU33,221431000000
PI29EE8258,03YKWLHX4PC95DOH8,510GYA63UFEA34530,cng,Audi,A7,18/09/1981,EV87,249731000000
SU27JH3485,IF66UN4E69D72S6XH,953NNJ78PNOT78000,cng,Audi,A4,28/02/1971,AZ92,293146000000
OQ46AG0169,C018YIA3PL2KOUNJJ,031RYO44MJNX99317,cng,Audi,90,13/02/2005,OH31,341687000000
BA55AT6274,98S0BMYAJUK2T9920,683NOW05BAHP55715,diesel,Audi,Cabriolet,28/01/1987,UQ04,348408000000
ZF61PH5036,8UEX3G4DV6LMQVFP2,556FLP73VSMZ14604,cng,Audi,RS 4,1/11/1989,UW89,377872000000
GX28BX9884,YXS9HWML56KBRDAID,912AVF10KHYS77574,cng,Audi,S5,30/10/1964,PZ21,406019000000
RO70YT4890,GCHF2J03WFLWRF0QM,771DXU50JTFL08520,elec,Audi,5000S,18/02/1989,CX12,489204000000
AG13XO5558,5WE8R5YG5LLUV5NO1,338EHG08FUTU96834,elec,Audi,Cabriolet,4/8/1995,YE64,500765000000
VL46LF9329,XJZSG1UVQKTZS4CWA,264QGO44JIWT37107,cng,Audi,A6,8/2/1968,MS59,520726000000
DC20LP8769,HQBVUXHM8G6MKNF1I,421CWP51DNKP14974,cng,Audi,90,14/12/1959,SV59,558146000000
XW33UZ8984,Y2O0VI6M5VUGVIW53,781MFA00COBO20401,petrol,Audi,R8,4/12/2005,WG76,614522000000
VI23PH6986,USAVPUXTOJIDU0L5R,048YWS50APBA97947,cng,Audi,Quattro,2/6/1992,BO62,642246000000
IQ10EP0003,AZ0Y4LPOQJLAQ4GFK,633MOW54ATCH16682,elec,Audi,TT,17/04/1975,ET58,654539000000
RP16EG8577,21BQYC927PSJOXFB0,559EWL57LDXL27815,elec,Audi,RS 4,5/10/2000,LY51,695940000000
OA41RU0036,UM3KTUUG4DZ19D3YA,488YSC73FQOF53637,cng,Audi,TT,30/01/1997,WD17,700712000000
XH64VW5479,4IHZ62TGSZ23CUFVE,139MPJ96VGDG21645,petrol,Audi,S4,29/07/1960,MT89,722768000000
EQ36VY9051,X3JUK2EJMWXB8VC8A,422GLB21DQDQ06965,diesel,Audi,A6,24/08/1984,KA92,770166000000
SA18LL1223,ZQ4VQTQAY991R9MBE,829JIF24GVNJ46008,elec,Audi,S6,31/01/1964,YX55,773487000000
MO50NV0212,D39V3AX3EYBV6NWL7,894SXM44VCJW46726,elec,Audi,RS4,5/5/1992,YE72,845518000000
OD38NZ6177,HQ056JRKRY3QDVT63,369OEM43KEES28718,petrol,Audi,80,22/09/1951,MT81,854888000000
